"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 17-Mar-2020","30 D % CHNG 
 15-Feb-2021"
"NIFTY 100","14,850.75","14,885.65","14,729.45","14,847.25","14,859.70","12.45","0.08",720614069,"348,237,853,130.82","15,513.50","8,213.25","67.73","-1.69"
"ACC","1,760.00","1,873.90","1,751.20","1,755.00","1,863.90","108.90","6.21",4627665,"8,515,412,643.15","1,894.00","895.15","55.60","0.44"
"ADANIPORTS","686.00","726.25","681.00","686.25","721.95","35.70","5.20",22864950,"16,277,786,554.50","767.80","203.00","167.65","5.01"
"ADANIGREEN","1,252.20","1,252.20","1,234.95","1,192.60","1,252.20","59.60","5.00",382028,"478,001,074.16","1,252.20","122.95","737.79","6.70"
"AMBUJACEM","284.45","297.80","278.00","283.45","297.40","13.95","4.92",11182565,"3,271,794,867.70","298.30","136.55","76.71","2.96"
"TATACONSUM","603.00","623.05","596.25","600.25","621.50","21.25","3.54",3154483,"1,935,559,223.97","654.00","213.70","127.20","-2.71"
"GODREJCP","675.00","696.00","671.00","672.50","694.95","22.45","3.34",2005221,"1,377,346,200.48","808.35","425.10","34.74","-5.24"
"ADANITRANS","767.80","807.00","758.15","767.80","787.85","20.05","2.61",1802300,"1,429,548,314.00","854.95","167.00","292.44","-0.31"
"TECHM","989.90","1,017.40","978.30","989.45","1,014.90","25.45","2.57",3873143,"3,885,575,789.03","1,081.55","471.40","71.68","-0.45"
"BRITANNIA","3,440.10","3,570.00","3,440.10","3,466.60","3,555.10","88.50","2.55",820046,"2,896,058,052.68","4,010.00","2,100.00","40.47","4.06"
"TCS","3,048.70","3,139.45","3,018.65","3,050.20","3,128.00","77.80","2.55",2821646,"8,707,655,988.92","3,339.80","1,546.75","69.70","-0.70"
"INDIGO","1,663.60","1,727.85","1,626.25","1,663.60","1,705.90","42.30","2.54",2226951,"3,772,477,263.51","1,823.85","771.30","90.85","6.25"
