,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
ADANIPORTS.NS,4170.005042576341,4446.947920334231,29856.451009605094,14967.322487133353,-5983.935750042525,3161.005483551392,2702.319895448006,-8778.98275537079,3373.9855553153207,16646.300769168978,6013.978911522239,299.068018438609,1110.2336974231753,969.1633108221135,2223.32524084258,1387.8208016131732,3488.063983353115,1224.9576987150085,9337.175684625923,24828.04229660191,95151.56967569249,11104.52672403605,14833.717659116672,1047.0711457199466,8617.636653041913,11671.918257460238,18010.83418125616,2064.810778960829,4127.252546274814,126110.54498282718,84164.20558597338,14512.402370065325,103871.22174580696,14031.050785070727,-1269.4366950244305,1759.0613049886367,8158.52985162912,10562.921768321268,219.67228780762855,2101.1052872517453,15584.041093046806,47183.671789441505,3619.979760168557,11987.603962722167,-2978.9985930831076,3643.995647104151,990.2462493245476,13658.167947171347
TECHM.NS,4446.947920334231,20487.481035430785,87210.33567677901,61316.022347074795,-10704.22887634353,19707.22835132573,2237.3490864376627,29775.05344779436,12673.3133287712,55393.937991882485,3403.3540010231227,-841.6959472462808,1999.5397247773717,-488.0213371075266,-1488.454368377911,4984.143843410624,7151.363544669929,688.8999896384616,70260.00778061808,32453.43695499584,404138.2503247772,39100.62475692737,-12814.778742123317,-2326.128019422093,703.6164462118757,12971.94094771383,39325.17764260759,1312.7874400531612,4618.148622041445,232379.31112219198,77558.80346208268,40974.94040060038,238831.87520905305,38555.97181791097,-4975.319980270044,2927.9792067990024,-27732.420035477335,15733.418011055803,-2291.506594573354,1782.4249277502433,52724.77800674263,141773.19156974333,9868.234363014706,28324.90347888816,-15356.94432502701,10083.673509298294,247.2969961081825,3249.404548249862
BRITANNIA.NS,29856.451009605094,87210.33567677901,574491.6209491597,325296.913083357,-73384.06933140226,97790.79341263091,14888.603335691008,192400.63124715615,69568.83629796976,354415.69110330695,22046.91952743778,-6011.149360117575,21823.153599088277,-5259.510708673919,445.60895521033314,22705.0475918677,37453.37283014481,2713.122661102566,405847.5827432373,188558.94777120015,2640815.829890362,233761.01436351644,-24881.192853825225,-11122.949272558426,12908.06946443181,78786.81220975336,214049.8837290336,-801.2370297335857,23631.413936210123,1644412.769402012,582844.9515467031,224547.61891799292,1293829.9118135767,211028.88511480542,-37462.195125028986,36078.62248401302,-117112.70250728738,66875.18745747642,-16741.64726230027,4792.062623044109,336459.0530563179,761866.5463179746,29434.2910579459,160179.46946772237,-91755.10731241002,51559.592781510306,2772.525586596784,-23737.78772572419
TCS.NS,14967.322487133353,61316.022347074795,325296.913083357,224371.649455651,-40090.922095970825,72642.6960516218,5524.603252022874,163078.27562920412,47878.05553469586,214145.63620328097,4017.667363561941,-4484.217378960611,11715.97262723815,-4650.872954711993,-5452.127350983177,17063.749046905803,20784.80146555881,-606.0577882226438,281023.2503970986,117716.77527007317,1661292.3189311973,153801.91685180386,-62514.08392379002,-10011.422587194198,-6865.706039772973,38250.42560015745,133595.72281771674,-5452.517184331824,13769.19402579022,1009289.6853862626,202874.33645433432,142151.85339965814,801825.8802913674,137144.4503657441,-23411.76756881826,18122.891717725786,-109038.91583545513,38268.65968383949,-11614.176515619729,2709.839327764335,207750.93497491666,502116.29413807904,24407.469889480533,99201.39017458822,-59190.55272216785,34734.676016252655,532.9300913199083,-34752.815706206224
SUNPHARMA.NS,-5983.935750042525,-10704.22887634353,-73384.06933140226,-40090.922095970825,17418.450756653052,-8759.250444141344,-3166.336397569045,5281.559415119446,-7015.6853943386295,-50880.55053098229,-4986.550371967348,339.2996577751852,1225.9183958385117,-302.55907528392993,-2292.9106755569933,-2615.994637136543,-4945.415408569266,-1063.0908794935026,-36553.76900655449,-32670.291306172086,-345972.26589693537,-29363.194334481454,2164.3593799584096,-52.942512274123224,-5376.688797650832,-11943.195067344082,-37826.189288665526,3793.9338969938203,-7703.1778399945515,-267848.7737096952,-104200.88082010555,-35096.50780142064,-228505.12978427333,-33386.70670350296,5441.472859725825,-4622.9463927413235,18793.868590028844,-16878.4234481078,1596.1912617242178,-2789.4294007126423,-40713.77653176197,-116005.94241098511,-7096.544575399197,-26007.042281025457,13417.742669664589,-8959.04589042425,-1309.5253212209557,-7946.599866515252
INFY.NS,3161.005483551392,19707.22835132573,97790.79341263091,72642.6960516218,-8759.250444141344,27848.697207470756,400.85321052690455,84615.27934407683,17807.559318729578,64438.653874026306,-1626.6779032412533,-1980.0992028115415,5970.579431676032,-2836.4702134251725,-3035.8703123564133,6273.200113812366,5389.237597284224,-1390.679576433163,107889.48643229196,32543.67493306714,539010.1993020497,52642.59470450889,-27121.217835892134,-4489.890914420503,-6920.084635055345,10117.20734628756,35452.162880805656,-2499.919332554447,1920.820090753611,299892.4661975141,20328.262924773444,42231.17646009755,210266.49777463396,40389.712510298144,-8086.961264958487,6206.309085500706,-35024.180173486966,4392.044962993587,-4607.095795173761,-878.3803878152054,69483.0071928114,153348.15240186415,5204.0337960946235,28124.68280684579,-18030.444658379212,10137.14153064643,-485.7852126395577,-26509.779708473816
HINDALCO.NS,2702.319895448006,2237.3490864376627,14888.603335691008,5524.603252022874,-3166.336397569045,400.85321052690455,2376.0363422850924,-12932.857259406213,1252.0858647585833,6003.718406284575,5567.8652358855825,467.21149776490904,860.1241208894852,1083.0560366897878,1854.2702926613126,614.7899496284322,2791.438357045936,1212.2266494829626,-1631.0422832353463,16003.916931219122,16179.936642083432,3547.4797384223884,16513.332636765612,1215.3233904854592,7942.5517752829555,8736.024878983168,9970.706215071212,3021.585894441449,2730.217387814982,61416.73358938129,68023.06776424602,6642.170546282258,56023.14825661826,6402.2956913128855,-16.02998776981279,442.17822260351477,12699.680465237903,7680.801609827715,685.3955587052681,1661.6385062184793,5962.806792455284,20324.312916093066,2282.6279182027433,6431.00661139757,-132.97302680954985,1631.4547232762084,827.3837615597304,14264.038436787385
DRREDDY.NS,-8778.98275537079,29775.05344779436,192400.63124715615,163078.27562920412,5281.559415119446,84615.27934407683,-12932.857259406213,545356.3703672375,58200.4479182992,142697.31395871632,-39788.34210640034,-10325.086835612488,33431.351592272746,-21309.731278061314,-11472.032107874502,15518.151778300626,-5455.064340079681,-16894.797396530303,432056.1168412385,26714.460036058743,1700038.2379969337,164578.9199500351,-151494.1964192499,-22014.657124629597,-74932.20431205093,9742.311282291805,10004.284363670684,-35402.80572077176,-15787.913113898469,884435.2394678883,-423827.6216239016,59922.36649317551,73251.06689619282,58349.41232419212,-29263.81218122371,30390.190472478276,-129712.4463655875,-79445.36725729423,-20822.964701670222,-18840.262598922098,202386.35248465693,274395.267983115,-20758.204217552302,28356.921713512646,-35571.38529328646,16548.913839812234,-6606.471623077458,-256602.90672456686
HCLTECH.NS,3373.9855553153207,12673.3133287712,69568.83629796976,47878.05553469586,-7015.6853943386295,17807.559318729578,1252.0858647585833,58200.4479182992,13175.257642924282,44237.04722958014,1281.5922157819182,-1199.175362868827,5273.9971266376615,-1824.5898172203247,-319.26602562835126,4327.3885210111775,4352.665014524039,-742.548533914547,73210.77157985496,29325.713074773143,369102.69693597255,37484.631703976214,-7126.520342859296,-2315.871395415537,-1071.952481786551,12382.825790908446,26084.070844358357,-1656.0582458124877,2350.503412349807,244399.61635734997,44383.41532392559,29461.096779627638,154936.30244727235,28059.617738084915,-5740.453202022609,5319.560036023076,-15072.951713184919,3300.779736443999,-2889.730242622087,-248.4922811775351,50182.33149043359,106876.27735440027,2679.014530503538,20498.603797559383,-11134.732190247629,7273.379024185865,61.204626338340624,-16137.699212756059
HINDUNILVR.NS,16646.300769168978,55393.937991882485,354415.69110330695,214145.63620328097,-50880.55053098229,64438.653874026306,6003.718406284575,142697.31395871632,44237.04722958014,244495.35494229474,4337.912883970006,-4939.584712275904,7366.416120027598,-5895.547336594196,-920.7560222717187,14250.43687950264,19258.856838559932,-896.4435952093722,279520.7171855771,111445.97881002465,1870875.3689189304,162027.88450133504,-62541.33567158577,-9588.528301923101,-6628.2770283060145,38958.86054217685,141633.85095695054,-14657.043329922259,13991.813367052779,1128095.6369801057,255749.79531599145,150429.48379985755,863636.3399099815,144314.548502142,-27201.753295502673,26303.552424600573,-125022.20442763295,37759.89075854291,-13238.195723667652,2270.5900754149907,215949.93471232298,524720.3634160906,20222.39342722656,103995.78979574075,-65284.73248360211,37065.83929192473,990.6054284657888,-44462.62821770953
